movie_title,release_date,rating,popularity,vote_count,original_language
The Wrecking Crew,2026-01-28,6.739,673.3304,354,en
Greenland 2: Migration,2026-01-07,6.5,624.2323,308,en
Zootopia 2,2025-11-26,7.627,340.0179,1515,en
The Shadow's Edge,2025-08-16,7.176,320.1332,396,zh
The Housemaid,2025-12-18,7.093,312.9548,709,en
Oscar Shaw,2026-01-09,5.8,252.9703,14,en
96 Minutes,2025-09-05,6.3,233.108,22,zh
Murder at the Embassy,2025-11-14,5.5,226.4,30,en
Anaconda,2025-12-24,5.9,216.8087,451,en
The Internship,2026-01-13,6.0,192.4575,37,en
Avatar: Fire and Ash,2025-12-17,7.3,159.2472,1689,en
Predator: Badlands,2025-11-05,7.8,154.475,1794,en
The Rip,2026-01-13,7.026,140.5198,1049,en
David,2025-12-14,8.0,138.085,64,en
War of the Worlds,2025-07-29,4.219,116.3709,876,en
Send Help,2026-01-22,7.071,108.4561,156,en
Shelter,2026-01-28,7.6,104.1945,27,en
Dust Bunny,2025-12-11,6.689,101.1023,149,en
The Confession,2026-01-08,5.278,92.8197,18,en
Iron Lung,2026-01-29,7.586,91.5717,58,en
